PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;mil m3;1999;REGIÃO NORDESTE;CEARÁ;96,6354;83,0242;87,92;86,8929;82,8508;82,5451;78,2269;81,9155;82,0779;80,0403;60,4712;69,5646;972,1648
TERRA;mil m3;1999;REGIÃO NORDESTE;RIO GRANDE DO NORTE;27511,6543;25885,9992;29024,5543;29885,9681;30050,3313;28756,034;30734,5927;33280,3132;31348,6395;29486,8967;26508,7181;27902,9281;350376,6295
TERRA;mil m3;1999;REGIÃO NORDESTE;ALAGOAS;47411,12;39928,44;51172,96;49467,8;47240,96;50222,8;49483,41;51606,63;53040,8;48003,93;47840,3305;52870,68;588289,8605
TERRA;mil m3;1999;REGIÃO NORDESTE;SERGIPE;5713,33;4923,635;5089,6204;4669,2803;4870,8159;4623,2819;4976,7369;5174,0272;5703,4493;4441,621;4722,52;4772,8925;59681,2104
TERRA;mil m3;1999;REGIÃO NORDESTE;BAHIA;166535,5879;145576,8241;157460,2991;154907,6338;160407,829;152957,0377;158879,2675;155205,5284;143841,3594;155096,9743;148746,5996;160658,5374;1860273,478
TERRA;mil m3;1999;REGIÃO SUDESTE;ESPÍRITO SANTO;24073,5548;25389,9811;24469,2366;20747,6103;26205,6398;26523,8337;26905,2543;25742,3156;26789,6032;26380,0283;24842,1394;24891,5948;302960,7919
TERRA;mil m3;1999;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1999;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;1999;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;2000;REGIÃO NORTE;AMAZONAS;121013;133999;164197;177098;174001;185446;189476;165119;156984;180387;179004;173476;2000200
TERRA;mil m3;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA;mil m3;2000;REGIÃO NORDESTE;CEARÁ;60,1063;57,2668;56,5577;61,9799;74,3692;69,1184;71,1499;65,4576;59,0392;61,2947;56,1875;62,3618;754,889
TERRA;mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;28407,025;25016,4006;28591,2086;29995,9641;33562,7495;33737,387;36712,1952;37499,3121;37085,4766;35270,0731;31760,0578;32673,9634;390311,813
TERRA;mil m3;2000;REGIÃO NORDESTE;ALAGOAS;50991,008;45716,6679;49880,589;47210,394;48126,887;43803,3007;47634,765;50569,42;47173,724;44492,244;47146,98;48847,847;571593,8266
TERRA;mil m3;2000;REGIÃO NORDESTE;SERGIPE;4448,1724;4656,7501;5228,3978;5012,0033;5224,2452;5362,2948;5102,2895;4657,2265;4693,3733;4848,6393;4662,6288;4692,4049;58588,4259
TERRA;mil m3;2000;REGIÃO NORDESTE;BAHIA;158202,6875;134216,5866;158005,9028;148459,4231;159650,2382;152672,4244;158471,6112;165470,3312;161153,6313;163152,5634;165129,5843;171316,7044;1895901,688
TERRA;mil m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;25244,6414;22708,9085;21799,6955;21840,8907;23955,5352;25389,6231;26273,9718;27449,9613;28271,7115;29871,0161;32626,2957;29798,8384;315231,0892
